LineID,LineName,LineNoTemp,LineNo
11110581,도봉01(법종사~창동역),도봉01,도봉01
11110582,도봉02(우이동도선사입구~수유역),도봉02,도봉02
11110584,도봉03(꽃동네~수유역),도봉03,도봉03
11110585,도봉04(동익아파트~수유역),도봉04,도봉04
11110509,강동01(길동신동아아파트~강변역),강동01,강동01
11110729,중랑02(진로아파트~한신아파트),중랑02,중랑02
11110564,노원01(보람사거리~상계역),노원01,노원01
11110566,노원11(수락현대아파트~상계역),노원11,노원11
11110571,노원05(온곡초등학교~창동역),노원05,노원05
11110568,노원02(수락리버시티아파트단지~노원구청),노원02,노원02
11110574,노원08(상계8동주민센터~창동역),노원08,노원08
11110686,성북12(월곡중학교~석계역),성북12,성북12
11110687,성북13(동방주택~석계역),성북13,성북13
11110688,성북14(북서울꿈의숲~석계역),성북14,성북14
11110651,서초10(서초구민체육센터~강남역),서초10,서초10
11110586,도봉05(한일병원~우이동도선사입구),도봉05,도봉05
11110587,도봉06(한일병원~방학동벽산아파트),도봉06,도봉06
11110588,도봉07(도봉여성센터~창2동건영아파트),도봉07,도봉07
11110693,성북04(성신여대입구역~신설동역),성북04,성북04
11110724,종로05(서대문역~배화여중고),종로05,종로05
11110807,구로11(대림역~개봉역),구로11,구로11
11110709,용산01(순천향병원~크라운호텔),용산01,용산01
11110711,용산03(하얏트호텔~용산전자상가),용산03,용산03
11110658,서초16(정금마을~방배역),서초16,서초16
11110659,서초17(사당역~서초구청),서초17,서초17
11110666,서초05(정금마을~방배브라운가아파트),서초05,서초05
11110667,서초06(정금마을~동덕여고),서초06,서초06
11110609,동작13(봉천고개관악현대아파트~대방역),동작13,동작13
11110602,동작01(달마사~대방역),동작01,동작01
11110603,동작10(노들역~상도역),동작10,동작10
11110744,동작21(달마사~상도역),동작21,동작21
11110716,은평05(백련산힐스테이트3차~녹번역),은평05,은평05
11111166,은평10(숭실고등학교~산새마을),은평10,은평10
11110084,은평06(대성중.고등학교~불광동팀수양관),은평06,은평06
11111161,은평07(삼성래미안아파트~양광교회),은평07,은평07
11110975,금천05(독산한신아파트~가산디지털단지역),금천05,금천05
11110976,금천06(시흥1동공영주차장~구로디지털단지역),금천06,금천06
11110977,금천07(시흥1동공영주차장~가산디지털단지역),금천07,금천07
11111171,성동13(옥수역~성수아이파크아파트),성동13,성동13
11110601,동작09(사당3동주민센터~사당역),동작09,동작09
11110728,중랑01(중화동동아약국~신이문역),중랑01,중랑01
11110569,노원03(석계역~하계역),노원03,노원03
11110570,노원04(석계역~공릉현대아파트),노원04,노원04
11110743,노원13(석계역~서울과학기술대학교),노원13,노원13
11110663,서초21(한국소비자원~서초구민체육센터),서초21,서초21
11110575,노원09(근로복지아파트~삼창아파트),노원09,노원09
11110500,강서07(생태공원~마곡역),강서07,강서07
11110530,강서04(염창역~경복여고),강서04,강서04
11110531,강서06(벽산아파트~수명산입구),강서06,강서06
11110504,강남06(세곡LH푸르지오아파트~코엑스),강남06,강남06
11110740,강남06-1(세곡동리엔파크~수서역),강남06-1,강남06-1
11110652,서초11(예술의전당~반포1동성당),서초11,서초11
11110657,서초15(롯데캐슬헤론아파트~사당역),서초15,서초15
11110668,서초07(황실아파트~소라아파트),서초07,서초07
11111000,강서05(발산역~강서농수산물도매시장),강서05,강서05
11111170,강서05-1(송정중학교~마곡나루역),강서05-1,강서05-1
11110604,동작08(행복유치원~대방역),동작08,동작08
11110670,서초09(헌인가구단지~강남역),서초09,서초09
11110613,마포15(서부운전면허시험장~홍대입구역),마포15,마포15
11110632,서대문12(동원베네스트아파트~홍제역),서대문12,서대문12
11110645,서대문07(개미마을~홍제역),서대문07,서대문07
11110646,서대문08(상명대학교~홍제역),서대문08,서대문08
11110913,금천08(난곡중학교~시흥대교),금천08,금천08
11110515,강북02(본원정사~수유역),강북02,강북02
11110698,양천03(신정이펜하우스1단지~목동역),양천03,양천03
11110662,서초20(내곡지구1단지~양재역),서초20,서초20
11110669,서초08(서울추모공원~양재역),서초08,서초08
81000003,"전통시장(서울투어,동대문두타~동대문두타)",전통시장,전통시장
81000004,셔틀(성균관대~혜화역),셔틀,셔틀
70000005,301번(영등포~을왕리),301번,301
70000008,300번(영등포~작전역),300번,300
70000010,9100번(용현동~양재역/강남역),9100번,9100
70000011,9200번(연수단지~양재역/강남역),9200번,9200
70000012,9300번(계산지구~양재역/강남역),9300번,9300
